,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac
500,5.27000000,64.27209071,-16.70007211,78.77005106,-7.79267519,459.20617222,304.42764719,252.64500444,229.49474040,387.96969285,0.52786243,0.15379771,0.08790827,0.06588944,0.31833985
501,5.28000000,64.32698726,-16.70438964,78.89521840,-7.82771416,459.28776621,304.54947751,252.73769732,229.59677970,388.55031222,0.52714359,0.15369080,0.08783839,0.06585241,0.31916561
502,5.29000000,64.38179285,-16.70869082,79.02035367,-7.86277987,459.36911986,304.67097144,252.83013699,229.69853236,389.12964256,0.52642674,0.15358393,0.08776858,0.06581535,0.31998933
503,5.30000000,64.43650775,-16.71297571,79.14545695,-7.89787223,459.45023417,304.79213027,252.92232440,229.79999952,389.70769140,0.52571187,0.15347711,0.08769884,0.06577827,0.32081102
504,5.31000000,64.49113217,-16.71724439,79.27052835,-7.93299116,459.53111016,304.91295527,253.01426051,229.90118230,390.28446619,0.52499897,0.15337032,0.08762917,0.06574115,0.32163070
505,5.32000000,64.54566636,-16.72149695,79.39556796,-7.96813657,459.61174881,305.03344774,253.10594627,230.00208181,390.85997434,0.52428804,0.15326358,0.08755957,0.06570401,0.32244837
506,5.33000000,64.60011056,-16.72573346,79.52057589,-8.00330839,459.69215111,305.15360893,253.19738262,230.10269917,391.43422316,0.52357907,0.15315689,0.08749005,0.06566685,0.32326404
507,5.34000000,64.65446500,-16.72995401,79.64555224,-8.03850653,459.77231804,305.27344012,253.28857049,230.20303548,392.00721991,0.52287205,0.15305024,0.08742059,0.06562965,0.32407771
508,5.35000000,64.70872993,-16.73415866,79.77049710,-8.07373092,459.85225058,305.39294256,253.37951083,230.30309183,392.57897175,0.52216696,0.15294364,0.08735121,0.06559243,0.32488940
509,5.36000000,64.76290557,-16.73834751,79.89541057,-8.10898146,459.93194969,305.51211750,253.47020454,230.40286932,393.14948582,0.52146381,0.15283709,0.08728190,0.06555519,0.32569911
