,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Sigma 0 kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac,Sigma 0 frac
24,0.51000000,13.65967817,-4.13757089,8.52782341,0.00000000,259.01418881,72.16147612,72.16147612,0.00000000,0.00000000,0.00000000,0.97883325,0.02116675,0.02116675,0.00000000,0.00000000,0.00000000
25,0.52000000,13.87961695,-4.21358633,8.69503563,0.00000000,260.64461077,73.28792365,73.28792365,0.00000000,0.00000000,0.00000000,0.97825286,0.02174714,0.02174714,0.00000000,0.00000000,0.00000000
26,0.53000000,14.09830195,-4.28937458,8.86224786,0.00000000,262.25262412,74.40888050,74.40888050,0.00000000,0.00000000,0.00000000,0.97766908,0.02233092,0.02233092,0.00000000,0.00000000,0.00000000
27,0.54000000,14.31575296,-4.36493495,9.02946008,0.00000000,263.83891468,75.52441266,75.52441266,0.00000000,0.00000000,0.00000000,0.97708201,0.02291799,0.02291799,0.00000000,0.00000000,0.00000000
28,0.55000000,14.53198921,-4.44026683,9.19667230,0.00000000,265.40413511,76.63458371,76.63458371,0.00000000,0.00000000,0.00000000,0.97649177,0.02350823,0.02350823,0.00000000,0.00000000,0.00000000
29,0.56000000,14.74702942,-4.51536964,9.36388453,0.00000000,266.94890706,77.73945502,77.73945502,0.00000000,0.00000000,0.00000000,0.97589847,0.02410153,0.02410153,0.00000000,0.00000000,0.00000000
30,0.57000000,14.96089178,-4.59024287,9.53109675,-0.00000000,268.47382320,78.83908586,78.83908586,0.00000000,0.00000000,0.00000000,0.97530221,0.02469779,0.02469779,0.00000000,0.00000000,0.00000000
31,0.58000000,15.17359401,-4.66488605,9.69830897,0.00000000,269.97944911,79.93353357,79.93353357,0.00000000,0.00000000,0.00000000,0.97470310,0.02529690,0.02529690,0.00000000,0.00000000,0.00000000
32,0.59000000,15.38515334,-4.73929876,9.86552120,-0.00000000,271.46632490,81.02285369,81.02285369,0.00000000,0.00000000,0.00000000,0.97410125,0.02589875,0.02589875,0.00000000,0.00000000,0.00000000
33,0.60000000,15.59558655,-4.81348065,10.03273342,0.00000000,272.93496684,82.10710004,82.10710004,0.00000000,0.00000000,0.00000000,0.97349675,0.02650325,0.02650325,0.00000000,0.00000000,0.00000000
34,0.61000000,15.80490998,-4.88743138,10.19994565,0.00000000,274.38586876,83.18632487,83.18632487,0.00000000,0.00000000,0.00000000,0.97288971,0.02711029,0.02711029,0.00000000,0.00000000,0.00000000
35,0.62000000,16.01313956,-4.96115069,10.36715787,-0.00000000,275.81950342,84.26057892,84.26057892,0.00000000,0.00000000,0.00000000,0.97228022,0.02771978,0.02771978,0.00000000,0.00000000,0.00000000
36,0.63000000,16.22029079,-5.03463835,10.53437009,-0.00000000,277.23632372,85.32991153,85.32991153,0.00000000,0.00000000,0.00000000,0.97166837,0.02833163,0.02833163,0.00000000,0.00000000,0.00000000
37,0.64000000,16.42637880,-5.10789417,10.70158232,-0.00000000,278.63676387,86.39437074,86.39437074,0.00000000,0.00000000,0.00000000,0.97105426,0.02894574,0.02894574,0.00000000,0.00000000,0.00000000
38,0.65000000,16.63141832,-5.18091801,10.86879454,-0.00000000,280.02124041,87.45400333,87.45400333,0.00000000,0.00000000,0.00000000,0.97043799,0.02956201,0.02956201,0.00000000,0.00000000,0.00000000
39,0.66000000,16.83542372,-5.25370977,11.03600676,-0.00000000,281.39015322,88.50885490,88.50885490,0.00000000,0.00000000,0.00000000,0.96981964,0.03018036,0.03018036,0.00000000,0.00000000,0.00000000
40,0.67000000,17.03840901,-5.32626938,11.20321899,0.00000000,282.74388644,89.55896997,89.55896997,0.00000000,0.00000000,0.00000000,0.96919929,0.03080071,0.03080071,0.00000000,0.00000000,0.00000000
41,0.68000000,17.24038788,-5.39859683,11.37043121,-0.00000000,284.08280932,90.60439201,90.60439201,0.00000000,0.00000000,0.00000000,0.96857704,0.03142296,0.03142296,0.00000000,0.00000000,0.00000000
42,0.69000000,17.44137365,-5.47069213,11.53764344,0.00000000,285.40727700,91.64516348,91.64516348,0.00000000,0.00000000,0.00000000,0.96795297,0.03204703,0.03204703,0.00000000,0.00000000,0.00000000
43,0.70000000,17.64137935,-5.54255533,11.70485566,-0.00000000,286.71763124,92.68132593,92.68132593,0.00000000,0.00000000,0.00000000,0.96732716,0.03267284,0.03267284,0.00000000,0.00000000,0.00000000
44,0.71000000,17.84041769,-5.61418651,11.87206788,-0.00000000,288.01420117,93.71292002,93.71292002,0.00000000,0.00000000,0.00000000,0.96669969,0.03330031,0.03330031,0.00000000,0.00000000,0.00000000
45,0.72000000,18.03850108,-5.68558580,12.03928011,0.00000000,289.29730386,94.73998555,94.73998555,0.00000000,0.00000000,0.00000000,0.96607064,0.03392936,0.03392936,0.00000000,0.00000000,0.00000000
46,0.73000000,18.23564164,-5.75675335,12.20649233,0.00000000,290.56724498,95.76256153,95.76256153,0.00000000,0.00000000,0.00000000,0.96544009,0.03455991,0.03455991,0.00000000,0.00000000,0.00000000
47,0.74000000,18.43185119,-5.82768934,12.37370455,0.00000000,291.82431933,96.78068622,96.78068622,0.00000000,0.00000000,0.00000000,0.96480811,0.03519189,0.03519189,0.00000000,0.00000000,0.00000000
48,0.75000000,18.62714132,-5.89839399,12.54091678,0.00000000,293.06881141,97.79439715,97.79439715,0.00000000,0.00000000,0.00000000,0.96417478,0.03582522,0.03582522,0.00000000,0.00000000,0.00000000
49,0.76000000,18.82152332,-5.96886755,12.70812900,0.00000000,294.30099586,98.80373113,98.80373113,0.00000000,0.00000000,0.00000000,0.96354017,0.03645983,0.03645983,0.00000000,0.00000000,0.00000000
50,0.77000000,19.01500823,-6.03911029,12.87534122,0.00000000,295.52113799,99.80872436,99.80872436,0.00000000,0.00000000,0.00000000,0.96290435,0.03709565,0.03709565,0.00000000,0.00000000,0.00000000
51,0.78000000,19.20760686,-6.10912252,13.04255345,-0.00000000,296.72949418,100.80941237,100.80941237,0.00000000,0.00000000,0.00000000,0.96226739,0.03773261,0.03773261,0.00000000,0.00000000,0.00000000
52,0.79000000,19.39932975,-6.17890456,13.20976567,-0.00000000,297.92631230,101.80583010,101.80583010,0.00000000,0.00000000,0.00000000,0.96162936,0.03837064,0.03837064,0.00000000,0.00000000,0.00000000
53,0.80000000,19.59018723,-6.24845677,13.37697790,0.00000000,299.11183211,102.79801192,102.79801192,0.00000000,0.00000000,0.00000000,0.96099032,0.03900968,0.03900968,0.00000000,0.00000000,0.00000000
54,0.81000000,19.78018940,-6.31777954,13.54419012,-0.00000000,300.28628561,103.78599163,103.78599163,0.00000000,0.00000000,0.00000000,0.96035034,0.03964966,0.03964966,0.00000000,0.00000000,0.00000000
55,0.82000000,19.96934612,-6.38687328,13.71140234,0.00000000,301.44989739,104.76980252,104.76980252,0.00000000,0.00000000,0.00000000,0.95970949,0.04029051,0.04029051,0.00000000,0.00000000,0.00000000
56,0.83000000,20.15766708,-6.45573841,13.87861457,0.00000000,302.60288496,105.74947734,105.74947734,0.00000000,0.00000000,0.00000000,0.95906783,0.04093217,0.04093217,0.00000000,0.00000000,0.00000000
57,0.84000000,20.34525101,-6.52314950,14.04582679,-0.00000000,303.73635950,106.79870222,106.70100316,14.94796556,0.00000000,0.00000000,0.95833927,0.04166073,0.04154650,0.00011423,0.00000000,0.00000000
58,0.85000000,20.53207258,-6.58959743,14.21303901,0.00000000,304.85433966,107.88440788,107.63425601,20.57840290,0.00000000,0.00000000,0.95756098,0.04243902,0.04214449,0.00029453,0.00000000,0.00000000
59,0.86000000,20.71812491,-6.65530902,14.38025124,-0.00000000,305.95879283,108.99115688,108.55382688,24.94535887,0.00000000,0.00000000,0.95675025,0.04324975,0.04273121,0.00051854,0.00000000,0.00000000
60,0.87000000,20.90340963,-6.72038935,14.54746346,-0.00000000,307.05074416,110.11154034,109.46187569,28.63982944,0.00000000,0.00000000,0.95591534,0.04408466,0.04330895,0.00077571,0.00000000,0.00000000
61,0.88000000,21.08793121,-6.78490069,14.71467569,0.00000000,308.13087966,111.24107451,110.35970049,31.89986039,0.00000000,0.00000000,0.95506124,0.04493876,0.04387904,0.00105972,0.00000000,0.00000000
62,0.89000000,21.27169529,-6.84888569,14.88188791,-0.00000000,309.19972497,112.37667382,111.24820118,34.84967526,0.00000000,0.00000000,0.95419143,0.04580857,0.04444237,0.00136620,0.00000000,0.00000000
63,0.90000000,21.45470811,-6.91237612,15.04910013,0.00000000,310.25771276,113.51606532,112.12805322,37.56378468,0.00000000,0.00000000,0.95330851,0.04669149,0.04499959,0.00169190,0.00000000,0.00000000
64,0.91000000,21.63697621,-6.97539688,15.21631236,0.00000000,311.30521492,114.65750331,112.99979023,40.09102383,0.00000000,0.00000000,0.95241454,0.04758546,0.04555119,0.00203427,0.00000000,0.00000000
65,0.92000000,21.81850629,-7.03796828,15.38352458,0.00000000,312.34256041,115.79960947,113.86384913,42.46544170,0.00000000,0.00000000,0.95151117,0.04848883,0.04609756,0.00239126,0.00000000,0.00000000
66,0.93000000,21.99930508,-7.10010736,15.55073680,0.00000000,313.37004601,116.94127424,114.72059732,44.71188936,0.00000000,0.00000000,0.95059980,0.04940020,0.04663903,0.00276118,0.00000000,0.00000000
67,0.94000000,22.17937934,-7.16182873,15.71794903,-0.00000000,314.38794341,118.08159197,115.57035012,46.84915610,0.00000000,0.00000000,0.94968158,0.05031842,0.04717584,0.00314258,0.00000000,0.00000000
68,0.95000000,22.35873580,-7.22314514,15.88516125,0.00000000,315.39650392,119.21981591,116.41338260,48.89185258,0.00000000,0.00000000,0.94875754,0.05124246,0.04770823,0.00353422,0.00000000,0.00000000
69,0.96000000,22.53738113,-7.28406788,16.05237348,0.00000000,316.39596204,120.35532574,117.24993793,50.85160318,0.00000000,0.00000000,0.94782855,0.05217145,0.04823640,0.00393506,0.00000000,0.00000000
70,0.97000000,22.71532194,-7.34460707,16.21958570,0.00000000,317.38653793,121.48760347,118.08023346,52.73783400,0.00000000,0.00000000,0.94689537,0.05310463,0.04876049,0.00434414,0.00000000,0.00000000
71,0.98000000,22.89256475,-7.40477187,16.38679792,0.00000000,318.36843939,122.61621503,118.90446528,54.55831250,0.00000000,0.00000000,0.94595869,0.05404131,0.04928067,0.00476064,0.00000000,0.00000000
72,0.99000000,23.06911600,-7.46457068,16.55401015,0.00000000,319.34186340,123.74079590,119.72281170,56.31952806,0.00000000,0.00000000,0.94501911,0.05498089,0.04979707,0.00518382,0.00000000,0.00000000
73,1.00000000,23.24498206,-7.52401119,16.72122237,-0.00000000,320.30699733,124.86103978,120.53543600,58.02696729,0.00000000,0.00000000,0.94407718,0.05592282,0.05030978,0.00561304,0.00000000,0.00000000
74,1.01000000,23.42016916,-7.58310055,16.88843459,0.00000000,321.26401993,125.97668946,121.34248861,59.68531765,0.00000000,0.00000000,0.94313338,0.05686662,0.05081893,0.00604769,0.00000000,0.00000000
75,1.02000000,23.59468349,-7.64184542,17.05564682,0.00000000,322.21310217,127.08752934,122.14410883,61.29862088,0.00000000,0.00000000,0.94218815,0.05781185,0.05132461,0.00648724,0.00000000,0.00000000
76,1.03000000,23.76853109,-7.70025205,17.22285904,-0.00000000,323.15440790,128.19337936,122.94042627,62.87039057,0.00000000,0.00000000,0.94124189,0.05875811,0.05182689,0.00693122,0.00000000,0.00000000
77,1.04000000,23.94171794,-7.75832631,17.39007126,-0.00000000,324.08809447,129.29408992,123.73156204,64.40370365,0.00000000,0.00000000,0.94029497,0.05970503,0.05232586,0.00737917,0.00000000,0.00000000
78,1.05000000,24.11424991,-7.81607375,17.55728349,0.00000000,325.01431321,130.38953762,124.51762973,65.90127248,0.00000000,0.00000000,0.93934772,0.06065228,0.05282159,0.00783070,0.00000000,0.00000000
79,1.06000000,24.28613276,-7.87349962,17.72449571,0.00000000,325.93320988,131.47962165,125.29873626,67.36550237,0.00000000,0.00000000,0.93840043,0.06159957,0.05331414,0.00828543,0.00000000,0.00000000
80,1.07000000,24.45737219,-7.93060895,17.89170794,0.00000000,326.84492505,132.56426085,126.07498255,68.79853795,0.00000000,0.00000000,0.93745339,0.06254661,0.05380358,0.00874303,0.00000000,0.00000000
81,1.08000000,24.62797376,-7.98740650,18.05892016,-0.00000000,327.74959443,133.64339102,126.84646412,70.20230097,0.00000000,0.00000000,0.93650684,0.06349316,0.05428997,0.00920319,0.00000000,0.00000000
82,1.09000000,24.79794297,-8.04389685,18.22613238,0.00000000,328.64734919,134.71696277,127.61327168,71.57852127,0.00000000,0.00000000,0.93556103,0.06443897,0.05477334,0.00966562,0.00000000,0.00000000
83,1.10000000,24.96728522,-8.10008438,18.39334461,0.00000000,329.53831622,135.78493961,128.37549147,72.92876257,0.00000000,0.00000000,0.93461617,0.06538383,0.05525377,0.01013006,0.00000000,0.00000000
84,1.11000000,25.13600580,-8.15597331,18.56055683,0.00000000,330.42261836,136.84729628,129.13320575,74.25444381,0.00000000,0.00000000,0.93367246,0.06632754,0.05573128,0.01059626,0.00000000,0.00000000
85,1.12000000,25.30410994,-8.21156769,18.72776905,0.00000000,331.30037464,137.90401735,129.88649308,75.55685730,0.00000000,0.00000000,0.93273007,0.06726993,0.05620593,0.01106399,0.00000000,0.00000000
86,1.13000000,25.47160276,-8.26687144,18.89498128,0.00000000,332.17170048,138.95509599,130.63542868,76.83718387,0.00000000,0.00000000,0.93178919,0.06821081,0.05667776,0.01153305,0.00000000,0.00000000
87,1.14000000,25.63848932,-8.32188834,19.06219350,0.00000000,333.03670784,140.00053284,131.38008461,78.09650589,0.00000000,0.00000000,0.93084996,0.06915004,0.05714681,0.01200323,0.00000000,0.00000000
88,1.15000000,25.80477455,-8.37662205,19.22940573,-0.00000000,333.89550543,141.04033515,132.12053011,79.33581838,0.00000000,0.00000000,0.92991253,0.07008747,0.05761311,0.01247436,0.00000000,0.00000000
89,1.16000000,25.97046334,-8.43107612,19.39661795,0.00000000,334.74819886,142.07451587,132.85683174,80.55603851,0.00000000,0.00000000,0.92897704,0.07102296,0.05807670,0.01294627,0.00000000,0.00000000
90,1.17000000,26.13556049,-8.48525399,19.56383017,0.00000000,335.59489074,143.10309298,133.58905359,81.75801392,0.00000000,0.00000000,0.92804360,0.07195640,0.05853761,0.01341879,0.00000000,0.00000000
91,1.18000000,26.30007070,-8.53915901,19.73104240,0.00000000,336.43568087,144.12608884,134.31725746,82.94252980,0.00000000,0.00000000,0.92711234,0.07288766,0.05899588,0.01389178,0.00000000,0.00000000
92,1.19000000,26.46399861,-8.59279442,19.89825462,-0.00000000,337.27066633,145.14352960,135.04150298,84.11031523,0.00000000,0.00000000,0.92618336,0.07381664,0.05945153,0.01436511,0.00000000,0.00000000
93,1.20000000,26.62734877,-8.64616340,20.06546684,0.00000000,338.09994158,146.15544477,135.76184782,85.26204855,0.00000000,0.00000000,0.92525675,0.07474325,0.05990460,0.01483865,0.00000000,0.00000000
94,1.21000000,26.79012568,-8.69926903,20.23267907,0.00000000,338.92359863,147.16186670,136.47834772,86.39836223,0.00000000,0.00000000,0.92433262,0.07566738,0.06035512,0.01531226,0.00000000,0.00000000
95,1.22000000,26.95233373,-8.75211432,20.39989129,-0.00000000,339.74172707,148.16283026,137.19105668,87.51984707,0.00000000,0.00000000,0.92341104,0.07658896,0.06080311,0.01578585,0.00000000,0.00000000
96,1.23000000,27.11397727,-8.80470220,20.56710351,-0.00000000,340.55441420,149.15837246,137.90002703,88.62705599,0.00000000,0.00000000,0.92249209,0.07750791,0.06124860,0.01625931,0.00000000,0.00000000
97,1.24000000,27.27506057,-8.85703555,20.73431574,-0.00000000,341.36174512,150.14853216,138.60530953,89.72050730,0.00000000,0.00000000,0.92157585,0.07842415,0.06169161,0.01673253,0.00000000,0.00000000
