,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
306,3.33000000,51.15861593,-16.76692879,53.20685048,-2.06244251,439.12428667,250.83419751,250.83419751,249.09378568,0.00000000,0.73051033,0.13615206,0.13615206,0.13333761,0.00000000
307,3.34000000,51.23730457,-16.77966164,53.33988806,-2.09092265,439.28583922,251.05213577,251.05213577,250.23512202,0.00000000,0.72912731,0.13609856,0.13609856,0.13477413,0.00000000
308,3.35000000,51.31582333,-16.79232511,53.47284936,-2.11946637,439.44661584,251.26919135,251.26919135,251.36865398,0.00000000,0.72774928,0.13604455,0.13604455,0.13620617,0.00000000
309,3.36000000,51.39417311,-16.80491991,53.60573510,-2.14807306,439.60662463,251.48537262,251.48537262,252.49452105,0.00000000,0.72637624,0.13599005,0.13599005,0.13763371,0.00000000
310,3.37000000,51.47235476,-16.81744676,53.73854600,-2.17674212,439.76587354,251.70068780,251.70068780,253.61285874,0.00000000,0.72500816,0.13593507,0.13593507,0.13905677,0.00000000
311,3.38000000,51.55036914,-16.82990633,53.87128274,-2.20547297,439.92437033,251.91514492,251.91514492,254.72379873,0.00000000,0.72364503,0.13587963,0.13587963,0.14047534,0.00000000
312,3.39000000,51.62821711,-16.84229930,54.00394601,-2.23426506,440.08212264,252.12875188,252.12875188,255.82746904,0.00000000,0.72228684,0.13582373,0.13582373,0.14188943,0.00000000
313,3.40000000,51.70589947,-16.85462635,54.13653646,-2.26311783,440.23913793,252.34151640,252.34151640,256.92399416,0.00000000,0.72093358,0.13576738,0.13576738,0.14329905,0.00000000
314,3.41000000,51.78341707,-16.86688811,54.26905475,-2.29203074,440.39542352,252.55344606,252.55344606,258.01349518,0.00000000,0.71958522,0.13571059,0.13571059,0.14470419,0.00000000
315,3.42000000,51.86077069,-16.87908523,54.40150152,-2.32100325,440.55098659,252.76454829,252.76454829,259.09608992,0.00000000,0.71824176,0.13565337,0.13565337,0.14610487,0.00000000
316,3.43000000,51.93796115,-16.89121833,54.53387739,-2.35003485,440.70583419,252.97483040,252.97483040,260.17189304,0.00000000,0.71690317,0.13559574,0.13559574,0.14750109,0.00000000
317,3.44000000,52.01498923,-16.90328803,54.66618297,-2.37912502,440.85997324,253.18429954,253.18429954,261.24101617,0.00000000,0.71556945,0.13553769,0.13553769,0.14889286,0.00000000
318,3.45000000,52.09185571,-16.91529493,54.79841886,-2.40827327,441.01341050,253.39296274,253.39296274,262.30356800,0.00000000,0.71424057,0.13547925,0.13547925,0.15028018,0.00000000
319,3.46000000,52.16856135,-16.92723963,54.93058565,-2.43747911,441.16615264,253.60082688,253.60082688,263.35965443,0.00000000,0.71291652,0.13542041,0.13542041,0.15166307,0.00000000
320,3.47000000,52.24510691,-16.93912270,55.06268392,-2.46674206,441.31820619,253.80789875,253.80789875,264.40937861,0.00000000,0.71159728,0.13536118,0.13536118,0.15304154,0.00000000
321,3.48000000,52.32149314,-16.95094472,55.19471422,-2.49606163,441.46957755,254.01418499,254.01418499,265.45284106,0.00000000,0.71028284,0.13530159,0.13530159,0.15441558,0.00000000
322,3.49000000,52.39772079,-16.96270624,55.32667712,-2.52543739,441.62027304,254.21969213,254.21969213,266.49013977,0.00000000,0.70897317,0.13524162,0.13524162,0.15578521,0.00000000
323,3.50000000,52.47379056,-16.97440783,55.45857317,-2.55486886,441.77029884,254.42442659,254.42442659,267.52137031,0.00000000,0.70766826,0.13518129,0.13518129,0.15715045,0.00000000
324,3.51000000,52.54970320,-16.98605002,55.59040288,-2.58435560,441.91966101,254.62839468,254.62839468,268.54662584,0.00000000,0.70636810,0.13512061,0.13512061,0.15851129,0.00000000
325,3.52000000,52.62545941,-16.99763334,55.72216680,-2.61389719,442.06836554,254.83160258,254.83160258,269.56599726,0.00000000,0.70507265,0.13505959,0.13505959,0.15986776,0.00000000
326,3.53000000,52.70105990,-17.00915832,55.85386542,-2.64349318,442.21641829,255.03405640,255.03405640,270.57957326,0.00000000,0.70378192,0.13499822,0.13499822,0.16121986,0.00000000
327,3.54000000,52.77650536,-17.02062548,55.98549927,-2.67314316,442.36382502,255.23576211,255.23576211,271.58744039,0.00000000,0.70249587,0.13493653,0.13493653,0.16256760,0.00000000
328,3.55000000,52.85179647,-17.03203532,56.11706882,-2.70284671,442.51059140,255.43672562,255.43672562,272.58968313,0.00000000,0.70121448,0.13487451,0.13487451,0.16391100,0.00000000
329,3.56000000,52.92693393,-17.04338834,56.24857458,-2.73260343,442.65672301,255.63695269,255.63695269,273.58638398,0.00000000,0.69993775,0.13481218,0.13481218,0.16525007,0.00000000
330,3.57000000,53.00191840,-17.05468503,56.38001702,-2.76241292,442.80222533,255.83644904,255.83644904,274.57762348,0.00000000,0.69866565,0.13474953,0.13474953,0.16658482,0.00000000
331,3.58000000,53.07675054,-17.06592587,56.51139662,-2.79227479,442.94710374,256.03522026,256.03522026,275.56348031,0.00000000,0.69739815,0.13468658,0.13468658,0.16791526,0.00000000
