,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac,Sigma_0 frac
763,7.90000000,76.71543661,-16.61223201,109.29715642,-19.00126911,464.82076322,318.04004433,263.01819674,240.86699528,472.90401849,332.11936507,0.36520582,0.11698402,0.06616655,0.05081747,0.38459191,0.13321825
764,7.91000000,76.75575721,-16.61110858,109.41096090,-19.04577756,464.82842541,318.07162026,263.04229601,240.89331059,473.18126405,332.56427951,0.36476216,0.11687093,0.06610107,0.05076986,0.38478165,0.13358526
765,7.92000000,76.79603440,-16.60997969,109.52474900,-19.09029966,464.83599113,318.10305841,263.06629028,240.91951080,473.45818488,333.00831462,0.36431939,0.11675798,0.06603568,0.05072230,0.38497092,0.13395171
766,7.93000000,76.83626825,-16.60884537,109.63852076,-19.13483538,464.84346065,318.13435914,263.09017984,240.94559620,473.73478209,333.45147475,0.36387751,0.11664517,0.06597037,0.05067480,0.38515971,0.13431761
767,7.94000000,76.87645884,-16.60770562,109.75227623,-19.17938467,464.85083426,318.16552281,263.11396495,240.97156711,474.01105675,333.89376423,0.36343652,0.11653250,0.06590516,0.05062734,0.38534802,0.13468296
768,7.95000000,76.91660626,-16.60656047,109.86601544,-19.22394752,464.85811224,318.19654978,263.13764590,240.99742382,474.28700994,334.33518734,0.36299641,0.11641997,0.06584003,0.05057994,0.38553586,0.13504775
769,7.96000000,76.95671059,-16.60540995,109.97973844,-19.26852387,464.86529487,318.22744041,263.16122293,241.02316664,474.56264274,334.77574835,0.36255719,0.11630758,0.06577500,0.05053259,0.38572323,0.13541199
770,7.97000000,76.99677191,-16.60425408,110.09344527,-19.31311370,464.87238241,318.25819505,263.18469634,241.04879587,474.83795622,335.21545147,0.36211885,0.11619533,0.06571005,0.05048528,0.38591013,0.13577568
771,7.98000000,77.03679030,-16.60309287,110.20713596,-19.35771697,464.87937515,318.28881407,263.20806639,241.07431180,475.11295144,335.65430089,0.36168139,0.11608322,0.06564519,0.05043803,0.38609657,0.13613882
772,7.99000000,77.07676585,-16.60192635,110.32081057,-19.40233366,464.88627336,318.31929781,263.23133334,241.09971474,475.38762944,336.09230078,0.36124481,0.11597125,0.06558042,0.05039083,0.38628253,0.13650141
