,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
430,4.570000000000004,59.81955574511011,-17.960593373225905,69.26243610264247,-5.9615591453796455,454.8457123252553,272.79856980870466,272.79856980870466,354.8315500961666,0.0,0.5915402992630102,0.1276198673098749,0.1276198673098749,0.280839833427115,0.0
431,4.580000000000004,59.881672893533334,-17.96786398605949,69.38906239097987,-5.995382275127632,454.94598624615514,272.94350285645027,272.94350285645027,355.50133504802943,0.0,0.590639186013421,0.1275442915662337,0.1275442915662337,0.281816522420345,0.0
432,4.590000000000003,59.943682433855194,-17.97510592501745,69.51565137927405,-6.0292364896391,455.0459336558657,273.0880248622509,273.0880248622509,356.16921773692474,0.0,0.5897409014878165,0.12746868484955806,0.12746868484955806,0.28279041366262553,0.0
433,4.600000000000003,60.00558467592103,-17.982319343744972,69.64220320848821,-6.063121671439411,455.1455561909996,273.23213760462295,273.23213760462295,356.835212481495,0.0,0.5888454319583537,0.12739304813944474,0.12739304813944474,0.2837615199022014,0.0
434,4.610000000000003,60.06741416948891,-17.988921506401727,69.76789956795771,-6.097719776667843,455.23881879834715,273.3697850050921,273.3697850050921,357.4697426110807,25.435599852483566,0.5879293748270755,0.12730891876059466,0.12730891876059466,0.2846591569828823,0.0001025494294475063
435,4.6200000000000045,60.12915167449353,-17.995293546773002,69.89327491836796,-6.132585401443742,455.3296714866934,273.5049340357579,273.5049340357579,358.0922625734878,33.817263654407384,0.5870081104361883,0.12722186041080882,0.12722186041080882,0.28552954767287947,0.0002404814801231535
436,4.630000000000004,60.19079724704854,-18.001459437428984,70.01836260591021,-6.167690756028013,455.418363634093,273.6378363185254,273.6378363185254,358.70403400675383,40.41327191855898,0.5860826242018196,0.12713223255916767,0.12713223255916767,0.28637560046335137,0.00040954277566146983
437,4.640000000000004,60.25234987848259,-18.007456433326848,70.14321469260233,-6.202992453459944,455.5052818939858,273.7688809399898,273.7688809399898,359.3069823751565,46.01291981394573,0.5851544238367392,0.12704058446050714,0.12704058446050714,0.2872018357483572,0.0006031559543964328
438,4.650000000000004,60.31380922275287,-18.01330726034931,70.26786288347505,-6.238464071695512,455.5906622619777,273.89830560454794,273.89830560454794,359.9022885855723,50.95384052021061,0.584224426949354,0.12694725233821072,0.12694725233821072,0.2880110121686144,0.0008173085438207585
439,4.660000000000004,60.37517522476814,-18.01902767840174,70.39232912949265,-6.274087317444112,455.6746684757672,274.02627538429334,274.02627538429334,360.490775585987,55.417630375582796,0.58329326727521,0.12685246998871555,0.12685246998871555,0.2888050437040737,0.0010492190320006312
440,4.6700000000000035,60.436447981236206,-18.024629454380474,70.51662979384491,-6.309848554102631,455.7574228401285,274.15291368873477,274.15291368873477,361.07306059077763,59.51529373639403,0.5823614153204952,0.12675641233520432,0.12675641233520432,0.2895853601518992,0.0012968121924015555
441,4.680000000000003,60.49762767610603,-18.03012181104773,70.64077768164078,-6.345737110268317,455.8390212526346,274.2783173644127,274.2783173644127,361.6496293889278,63.320557602766904,0.5814292372835,0.12665921668948038,0.12665921668948038,0.29035308279666183,0.0015584632303577229
